time,coin,dir,px,sz,ntl,fee,closedPnl
10/29/2025 - 17:10:21,XPL,Close Long,0.3481167726,82456,28704.3166015056,11.022453,-106.937533
10/29/2025 - 17:11:16,XPL,Open Long,0.3484495194,79364,27654.3476576616,10.619265,-10.619265
10/29/2025 - 18:14:25,XPL,Close Long,0.348239779,79364,27637.701820556,10.612876,-27.217492
10/30/2025 - 20:18:08,XPL,Open Long,0.2879513298,112803,32481.773855429397,12.472997,-12.472997
10/30/2025 - 20:23:28,XPL,Close Long,0.28660508,112803,32329.91283924,12.414677,-164.23849
10/30/2025 - 20:28:39,XPL,Open Long,0.2870046805,106800,30652.0998774,11.770401,-11.770401
10/30/2025 - 20:39:29,XPL,Close Long,0.2846803385,106800,30403.860151800003,11.675077,-259.842127
10/30/2025 - 20:41:02,XPL,Open Long,0.2844083796,98458,28002.2802386568,10.752873,-10.752873
10/30/2025 - 20:48:50,XPL,Close Long,0.2832903342,98458,27892.1997246636,10.710595,-120.753739
10/30/2025 - 20:57:20,XPL,Open Long,0.2853386936,93592,26705.419011411203,10.25487,-10.25487
10/30/2025 - 20:59:16,XPL,Close Long,0.284438883,93592,26621.203937735998,10.222531,-94.372687
11/2/2025 - 13:17:17,MINA,Open Short,0.1637873672,53913,8830.2683278536,3.390821,-3.390821
11/2/2025 - 13:23:37,MINA,Close Short,0.1592270285,53913,8584.4067875205,3.296409,242.545332
11/2/2025 - 14:59:45,SUI,Open Long,2.3428928859,13848.6,32445.78641967474,12.459175,-12.459175
11/3/2025 - 02:26:33,SUI,Close Long,2.3042950053,13848.6,31911.259810397583,12.253915,-546.740559
11/3/2025 - 10:01:39,SUI,Open Long,2.2029446263,12198.4,26872.399729457917,10.318998,-10.318998
11/3/2025 - 10:33:33,SUI,Close Long,2.1896033759,12198.4,26709.65782057856,10.256501,-172.941977
11/3/2025 - 11:12:10,SUI,Open Long,2.1831404893,11485.5,25074.46008985515,9.62859,-9.62859
11/3/2025 - 11:31:00,SUI,Close Long,2.1723708093,11485.5,24950.764930215148,9.581088,-133.270628
11/3/2025 - 16:36:59,SUI,Open Short,2.0929711718,11290,23629.644529622,9.07378,-9.07378
11/3/2025 - 16:51:22,SUI,Close Short,2.0563414136,11290,23216.094559544,8.914977,404.621763
11/3/2025 - 16:56:37,SUI,Open Long,2.0516,13418.8,27530.01008,10.571522,-10.571522
11/3/2025 - 16:57:09,SUI,Close Long,2.0480097945,13418.8,27481.833830436597,10.553016,-58.729266
11/3/2025 - 16:59:34,SUI,Open Long,2.042194893,13162.4,26880.1860596232,10.321988,-10.321988
11/3/2025 - 20:06:19,SUI,Close Long,2.0851899866,13162.4,27446.10467962384,10.539297,555.443727
11/3/2025 - 20:10:55,SUI,Open Short,2.087109405,15463,32272.972729515,12.392816,-12.392816
11/3/2025 - 20:12:59,SUI,Close Short,2.0903689562,15463,32323.3751697206,12.41217,-62.960040000000006
11/3/2025 - 20:13:18,SUI,Open Short,2.0909040974,15085.3,31541.91558050822,12.112089,-12.112089
11/3/2025 - 20:40:37,SUI,Close Short,2.0972018203,15085.3,31636.91861977159,12.148567,-107.213417
11/3/2025 - 20:47:07,SUI,Open Short,2.0997,84.3,177.00471,0.02039,-0.02039
11/3/2025 - 20:47:07,SUI,Open Short,2.0997,84.8,178.05455999999998,0.020511,-0.020511
11/3/2025 - 20:47:07,SUI,Open Short,2.0997,223.5,469.28294999999997,0.054061,-0.054061
11/3/2025 - 20:48:50,SUI,Close Short,2.0952,392.6,822.5755200000001,0.315868,1.450832
11/3/2025 - 20:51:21,SUI,Open Long,2.0891756912,14496.4,30285.526489911677,11.629637,-11.629637
11/3/2025 - 20:59:11,SUI,Close Long,2.0809849956,14496.4,30166.79089021584,11.584041,-130.237139
11/22/2025 - 14:05:18,SUI,Open Long,1.3187,5054.9,6665.896629999999,2.879667,-2.879667
11/22/2025 - 14:10:01,SUI,Close Long,1.3268913332,5054.9,6707.30300019268,2.897553,38.508817
11/22/2025 - 14:14:34,LAYER,Open Short,0.264406971,43070,11388.008240969999,4.919615,-4.919615
